Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,23/10/2022,11:30,Udinese,Torino,1,2,A
I1,23/10/2022,14:00,Bologna,Lecce,2,0,H
I1,23/10/2022,17:00,Atalanta,Lazio,0,2,A
I1,23/10/2022,19:45,Roma,Napoli,0,1,A
I1,24/10/2022,17:30,Cremonese,Sampdoria,0,1,A
I1,24/10/2022,19:45,Sassuolo,Verona,2,1,H
I1,29/10/2022,14:00,Napoli,Sassuolo,4,0,H
I1,29/10/2022,17:00,Lecce,Juventus,0,1,A
I1,29/10/2022,19:45,Inter,Sampdoria,3,0,H
I1,30/10/2022,11:30,Empoli,Atalanta,0,2,A
I1,30/10/2022,14:00,Cremonese,Udinese,0,0,D
I1,30/10/2022,14:00,Spezia,Fiorentina,1,2,A
I1,30/10/2022,17:00,Lazio,Salernitana,1,3,A
I1,30/10/2022,19:45,Torino,Milan,2,1,H
I1,31/10/2022,17:30,Verona,Roma,1,3,A
I1,31/10/2022,19:45,Monza,Bologna,1,2,A
I1,04/11/2022,19:45,Udinese,Lecce,1,1,D
I1,05/11/2022,14:00,Empoli,Sassuolo,1,0,H
I1,05/11/2022,14:00,Salernitana,Cremonese,2,2,D
I1,05/11/2022,17:00,Atalanta,Napoli,1,2,A
I1,05/11/2022,19:45,Milan,Spezia,2,1,H
I1,06/11/2022,11:30,Bologna,Torino,2,1,H
I1,06/11/2022,14:00,Monza,Verona,2,0,H
I1,06/11/2022,14:00,Sampdoria,Fiorentina,0,2,A
I1,06/11/2022,17:00,Roma,Lazio,0,1,A
I1,06/11/2022,19:45,Juventus,Inter,2,0,H
I1,08/11/2022,17:30,Napoli,Empoli,2,0,H
I1,08/11/2022,17:30,Spezia,Udinese,1,1,D
I1,08/11/2022,19:45,Cremonese,Milan,0,0,D
I1,09/11/2022,17:30,Lecce,Atalanta,2,1,H
I1,09/11/2022,17:30,Sassuolo,Roma,1,1,D
I1,09/11/2022,19:45,Fiorentina,Salernitana,2,1,H
I1,09/11/2022,19:45,Inter,Bologna,6,1,H
I1,09/11/2022,19:45,Torino,Sampdoria,2,0,H
I1,10/11/2022,17:30,Verona,Juventus,0,1,A
I1,10/11/2022,19:45,Lazio,Monza,1,0,H
I1,11/11/2022,19:45,Empoli,Cremonese,2,0,H
I1,12/11/2022,14:00,Napoli,Udinese,3,2,H
I1,12/11/2022,17:00,Sampdoria,Lecce,0,2,A
I1,12/11/2022,19:45,Bologna,Sassuolo,3,0,H
I1,13/11/2022,11:30,Atalanta,Inter,2,3,A
I1,13/11/2022,14:00,Monza,Salernitana,3,0,H
I1,13/11/2022,14:00,Roma,Torino,1,1,D
I1,13/11/2022,14:00,Verona,Spezia,1,2,A
I1,13/11/2022,17:00,Milan,Fiorentina,2,1,H
I1,13/11/2022,19:45,Juventus,Lazio,3,0,H
